Date,Latitude,Longitude,Temperature_C,Humidity_%,AOD,Fires_Nearby,PM2.5,CO,AQI
2025-06-24,18.8617,79.4154,24.6,50.2,0.707,2,49.7,14.74,50
2025-06-17,35.5707,81.7296,26.4,24.0,0.365,2,28.6,8.03,50
2025-06-22,29.2278,92.7819,33.9,61.2,0.576,1,74.1,13.72,100
2025-06-30,25.3611,77.8601,26.1,72.9,0.856,3,83.2,19.0,100
2025-06-16,12.5245,93.2198,37.6,48.9,0.161,2,18.1,5.12,50
2025-06-14,12.5238,70.5559,31.6,49.4,0.17,1,12.2,2.65,50
2025-06-12,9.6844,90.5272,32.4,26.2,0.601,1,65.3,13.85,100
2025-06-16,33.1191,92.5789,30.6,34.1,0.675,2,68.2,14.72,100
2025-06-10,25.4323,73.2727,35.9,30.8,0.29,5,24.7,9.16,50
2025-06-17,28.5341,80.48,35.9,53.7,0.771,2,82.1,17.15,100
2025-06-22,8.597,72.7995,33.7,57.0,0.682,2,72.3,16.9,100
2025-06-17,36.1274,88.4915,34.8,86.4,0.931,2,106.0,20.63,200
2025-06-05,32.1408,83.5251,30.9,25.1,0.252,5,36.7,5.22,50
2025-06-23,14.1578,86.4244,34.7,62.0,0.776,0,91.4,14.33,100
2025-06-02,13.2729,73.6981,30.3,56.9,0.175,1,21.3,4.45,50
2025-06-30,13.3187,74.1406,32.0,56.1,0.609,1,67.5,13.48,100
2025-06-10,16.823,69.2034,30.6,81.1,0.597,0,65.4,9.29,100
2025-06-17,23.2179,77.34,29.7,34.4,0.45,3,54.1,8.52,100
2025-06-18,20.5264,84.2326,28.6,22.9,0.86,1,100.8,19.89,200
2025-06-05,16.4456,92.8801,34.3,67.1,0.104,3,10.0,7.51,50
2025-06-12,25.7437,87.3409,38.6,44.2,0.568,1,65.2,8.55,100
2025-06-15,12.0453,80.6265,37.9,21.2,0.295,2,51.5,7.42,100
2025-06-27,16.4722,95.6405,25.7,37.6,0.769,1,60.5,15.98,100
2025-06-03,18.6245,88.8581,38.4,41.7,0.139,5,13.5,7.3,50
2025-06-29,21.226,94.9748,30.4,63.2,0.848,1,79.0,18.45,100
2025-06-08,30.7701,83.3001,35.0,32.1,0.854,5,93.6,21.24,100
2025-06-23,13.7905,75.5082,27.5,48.9,0.85,0,76.5,12.44,100
2025-06-28,22.9128,69.532,32.7,53.8,0.237,2,31.4,5.73,50
2025-06-20,25.18,89.0565,33.6,52.1,0.667,1,69.3,12.03,100
2025-06-06,9.3471,71.5178,24.6,88.2,0.113,2,10.0,1.5,50
2025-06-22,25.6188,76.7805,35.0,23.2,0.863,1,77.1,15.31,100
2025-06-05,12.9452,83.4417,38.7,86.6,0.751,2,94.1,16.48,100
2025-06-10,9.8865,84.3681,31.1,60.7,0.578,2,65.6,13.23,100
2025-06-17,35.5177,85.4169,38.8,75.7,0.758,1,87.1,16.92,100
2025-06-18,36.0033,72.8214,31.1,50.1,0.185,2,21.6,3.89,50
2025-06-13,31.4435,79.0124,36.2,51.8,0.576,5,68.4,16.79,100
2025-06-10,16.8338,85.8986,20.9,81.6,0.362,6,33.1,8.38,50
2025-06-20,10.8325,96.1247,44.1,82.7,0.975,2,120.9,17.63,200
2025-06-01,27.8428,89.1013,39.5,36.7,0.871,3,88.0,19.36,100
2025-06-14,20.7644,94.7555,30.6,33.9,0.76,2,96.0,14.83,100
2025-06-21,11.5391,90.1041,22.1,54.7,0.94,4,95.0,21.86,100
2025-06-09,22.3601,85.1598,33.4,83.0,0.412,4,46.8,8.92,50
