system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
00000000000000000001_0,330.0,3.4214108,0.016710021199467778,33.008594353203314,90.3726655696641,2.0528464,55.76316438956322,Point_1,-3.0304103798335973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.37500915884446,33.00859511497182]}"
00000000000000000002_0,388.0,36.87404,0.04176640723402596,25.37702923298859,76.86352791093533,22.124424,18.462990926177078,Point_2,33.621133131451074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86434728568686,25.372915199955887]}"
00000000000000000005_0,564.0,31.686169,0.039913340711316074,14.359187780216736,78.55029661035859,19.011702,42.87816198761939,Point_5,32.52053702142507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55318001983156,14.359569816650552]}"
00000000000000000006_0,841.0,69.350266,0.04832159615077411,26.668810064190097,81.00084145995861,41.610157,29.629894853876092,Point_6,32.71829770935909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.99659759263666,26.666489209087995]}"
00000000000000000009_0,468.0,32.648266,0.0375289944143037,14.45892329389699,76.94954577541782,19.588959,48.59511618960643,Point_9,30.525562249289635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94519566125761,14.4583844979037]}"
0000000000000000000a_0,585.0,44.686657,0.0396966571938094,20.201463921976206,75.97756559499757,26.811995,27.58338945653441,Point_10,32.86247292094765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97501515440854,20.19861916342744]}"
0000000000000000000b_0,326.0,19.503222,0.02657270350344512,31.381344857653673,68.47111815816625,11.701933,29.049813868415075,Point_11,19.43025585280526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.47408253201053,31.382644450715485]}"
0000000000000000000d_0,651.0,47.02594,0.04317691405802168,19.433118843728263,77.26091455213106,28.215563,30.056395725823915,Point_13,33.41580408414205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25960601069944,19.43505117192585]}"
0000000000000000000e_0,626.0,37.689823,0.0446280562111231,23.409007151371764,94.18192422020648,22.613894,55.632202025826714,Point_14,28.85256488058303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18386596351124,23.405604727734133]}"
0000000000000000000f_0,314.0,7.4420156,0.01728128772741057,34.77920935897629,95.33774280494991,4.4652095,65.70649953402707,Point_15,-3.907448275883951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.33370952718423,34.778276224687275]}"
